timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
1557,0.7222,-1.6909,9.3096,-1107.5400,-571.1300,113.5400
1577,0.9213,-1.4762,9.0705,-1098.7200,-358.4700,209.6500
1597,1.2517,-1.3757,10.2924,-1118.1100,-145.9500,320.8800
1617,1.6480,-2.8036,11.7584,-1082.0601,-145.7400,335.7900
1637,1.8803,-3.2242,9.7912,-1074.7100,-70.4900,305.4100
1657,1.9022,-2.6484,8.9958,-1084.5800,-24.3600,190.0500
1677,1.4518,-2.7084,9.0729,-1073.0300,218.0500,188.8600
1697,0.8774,-3.3672,10.2177,-1004.3600,353.2900,153.0200
1717,0.1518,-2.9412,10.8907,-930.0200,278.3200,141.4700
1737,-0.0020,-2.5522,9.9454,-859.8100,110.0400,120.9600
1757,0.0029,-2.4171,8.6313,-830.4800,70.0700,137.2000
1777,-0.1742,-2.2819,8.3590,-823.2700,121.4500,159.4600
1797,-0.2406,-2.4698,8.0349,-802.7600,202.0900,234.1500
1817,-0.6764,-2.6376,8.1779,-814.0300,313.9500,280.8400
